id,sugar_level,calories,weight,fat,food_color
4884,121.59 gr,490 cal,1066.05 gr,39 gr,Navy Blue
4885,,448 cal,1676.94 gr,15 gr,Coffee
4886,125.56 gr,680 cal,487.43 gr,36 gr,Green
4887,107.09 gr,272 cal,646.3 gr,16 gr,Sunset Red
4888,31.78 gr,390 cal,515.61 gr,23 gr,Rose
4889,98.83999999999999 gr,143 cal,392.31 gr,15 gr,Coffee
4890,86.92999999999999 gr,464 cal,423.62 gr,34 gr,Navy Blue
4891,59.86999999999999 gr,127 cal,1389.47 gr,26 gr,Grass Green
4892,37.22 gr,99 cal,1168.29 gr,2 gr,Black
4893,57.89999999999999 gr,461 cal,14.72 gr,13 gr,Black
4894,85.86 gr,637 cal,1804.84 gr,28 gr,Purple
4895,115.78 gr,482 cal,1021.73 gr,22 gr,Sunset Yellow
4896,37.69999999999999 gr,102 cal,1024.55 gr,10 gr,Rose
4897,111.06 gr,107 cal,739.44 gr,14 gr,Rose
4898,164.62 gr,640 cal,1689.6 gr,26 gr,Coffee
4899,72.46 gr,76 cal,19.64 gr,27 gr,Green
4900,37.120000000000005 gr,109 cal,7.06 gr,2 gr,Rose
4901,90.67 gr,478 cal,1206.45 gr,30 gr,Sunset Red
4902,96.69999999999999 gr,531 cal,353.3 gr,42 gr,Coffee
4903,64.7 gr,223 cal,1803.62 gr,9 gr,Sunset Red
4904,130.31 gr,372 cal,1597.46 gr,40 gr,Grass Green
4905,138.95 gr,57 cal,941.91 gr,20 gr,Rose
4906,103.28000000000002 gr,203 cal,1295.07 gr,26 gr,Rose
4907,106.8 gr,758 cal,1057.44 gr,33 gr,Sunset Yellow
4908,88.17 gr,549 cal,694.24 gr,14 gr,Rose
4909,71.45 gr,255 cal,343.74 gr,28 gr,Sunset Yellow
4910,151.99 gr,385 cal,1664.33 gr,32 gr,Purple
4911,104.87000000000002 gr,144 cal,488.74 gr,25 gr,Navy Blue
4912,114.53 gr,419 cal,1091.75 gr,41 gr,Black
4913,113.28 gr,358 cal,1104.95 gr,28 gr,Grass Green
4914,115.55 gr,557 cal,752.2 gr,22 gr,Purple
4915,86.48 gr,510 cal,1224.92 gr,,Black
4916,60.64 gr,450 cal,1160.86 gr,26 gr,Rose
4917,116.00999999999999 gr,388 cal,1616.23 gr,21 gr,Coffee
4918,140.8 gr,693 cal,1269.16 gr,27 gr,Green
4919,87.86 gr,389 cal,341.04 gr,36 gr,Navy Blue
4920,87.71 gr,607 cal,267.04 gr,44 gr,Sunset Red
4921,41.23000000000002 gr,482 cal,589.26 gr,41 gr,Navy Blue
4922,94.45 gr,481 cal,811.79 gr,43 gr,Navy Blue
4923,61.7 gr,541 cal,1622.86 gr,20 gr,Green
4924,124.22 gr,585 cal,1328.63 gr,34 gr,Black
4925,116.74 gr,746 cal,868.86 gr,27 gr,Lemon Yellow
4926,95.69999999999999 gr,544 cal,353.5 gr,14 gr,Coffee
4927,76.25 gr,663 cal,384.16 gr,43 gr,Sunset Yellow
4928,137.32999999999998 gr,229 cal,125.28 gr,25 gr,Navy Blue
4929,81.19 gr,24 cal,631.0 gr,38 gr,Coffee
4930,145.74 gr,469 cal,472.37 gr,23 gr,Navy Blue
4931,73.32 gr,402 cal,1733.34 gr,38 gr,Grass Green
4932,76.19000000000001 gr,243 cal,1148.59 gr,23 gr,Navy Blue
4933,99.82999999999998 gr,436 cal,1142.95 gr,15 gr,Lemon Yellow
4934,114.91 gr,398 cal,1414.79 gr,39 gr,Coffee
4935,121.44 gr,636 cal,1277.08 gr,37 gr,Black
4936,61.55 gr,372 cal,588.66 gr,28 gr,Sunset Red
4937,23.35000000000001 gr,341 cal,1177.05 gr,27 gr,Purple
4938,100.91 gr,453 cal,950.52 gr,28 gr,Purple
4939,107.27999999999999 gr,526 cal,458.63 gr,35 gr,
4940,68.66 gr,501 cal,769.69 gr,29 gr,Purple
4941,102.82000000000001 gr,193 cal,759.77 gr,23 gr,Sunset Red
4942,57.5 gr,128 cal,1799.22 gr,27 gr,Rose
4943,105.35000000000001 gr,451 cal,325.46 gr,31 gr,Grass Green
4944,115.06 gr,280 cal,1736.78 gr,36 gr,Lemon Yellow
4945,100.93 gr,76 cal,659.5 gr,20 gr,Sunset Yellow
4946,101.32 gr,538 cal,,37 gr,Purple
4947,84.0 gr,299 cal,580.78 gr,17 gr,Black
4948,162.54000000000002 gr,434 cal,677.97 gr,20 gr,Rose
4949,88.84 gr,141 cal,112.49 gr,27 gr,Black
4950,100.75 gr,628 cal,1259.74 gr,14 gr,Black
4951,111.93 gr,238 cal,928.02 gr,16 gr,Sunset Yellow
4952,151.5 gr,297 cal,1599.41 gr,23 gr,Black
4953,109.51 gr,525 cal,367.1 gr,29 gr,Sunset Red
4954,77.17000000000002 gr,82 cal,1614.25 gr,28 gr,Green
4955,76.52000000000001 gr,519 cal,179.92 gr,28 gr,Black
4956,85.24999999999999 gr,465 cal,1964.12 gr,32 gr,Grass Green
4957,147.67 gr,426 cal,1313.25 gr,31 gr,Rose
4958,134.85999999999999 gr,738 cal,1157.06 gr,41 gr,Black
4959,119.19 gr,371 cal,1213.28 gr,33 gr,Grass Green
4960,84.95000000000002 gr,291 cal,1878.62 gr,33 gr,Grass Green
4961,76.68 gr,194 cal,1296.71 gr,34 gr,Sunset Red
4962,97.04 gr,23 cal,1821.44 gr,13 gr,Sunset Yellow
4963,19.47 gr,234 cal,350.76 gr,25 gr,Sunset Red
4964,94.33999999999999 gr,300 cal,316.26 gr,25 gr,Lemon Yellow
4965,97.33 gr,470 cal,1355.57 gr,24 gr,Purple
4966,140.96 gr,531 cal,248.01 gr,27 gr,Black
4967,95.25 gr,227 cal,492.2 gr,28 gr,Sunset Red
4968,104.0 gr,592 cal,1347.75 gr,36 gr,Green
4969,36.03 gr,33 cal,471.42 gr,14 gr,Coffee
4970,53.440000000000005 gr,755 cal,678.11 gr,37 gr,Sunset Yellow
4971,128.19 gr,604 cal,1915.88 gr,44 gr,Coffee
4972,108.91999999999999 gr,463 cal,1244.89 gr,19 gr,Green
4973,140.93 gr,667 cal,717.74 gr,46 gr,Sunset Yellow
4974,75.53999999999999 gr,347 cal,1493.57 gr,32 gr,Purple
4975,150.73 gr,629 cal,1877.4 gr,27 gr,Green
4976,123.41 gr,447 cal,1342.08 gr,22 gr,Purple
4977,149.42 gr,265 cal,1178.98 gr,19 gr,Sunset Yellow
4978,133.49 gr,116 cal,1137.65 gr,35 gr,Sunset Red
4979,111.49000000000001 gr,536 cal,1266.54 gr,32 gr,Navy Blue
4980,140.23 gr,494 cal,,24 gr,Sunset Yellow
4981,139.06 gr,758 cal,1657.15 gr,35 gr,Navy Blue
4982,49.010000000000005 gr,531 cal,915.71 gr,21 gr,Coffee
4983,95.28999999999999 gr,488 cal,153.54 gr,42 gr,Sunset Red
4984,73.07 gr,260 cal,726.64 gr,27 gr,Navy Blue
4985,186.57 gr,293 cal,,19 gr,Rose
4986,90.59 gr,546 cal,906.53 gr,26 gr,Coffee
4987,69.6 gr,310 cal,28.26 gr,41 gr,Coffee
4988,65.96 gr,,1245.9 gr,34 gr,Lemon Yellow
4989,120.41 gr,509 cal,828.22 gr,14 gr,Grass Green
4990,134.32 gr,494 cal,1654.2 gr,19 gr,Green
4991,108.39 gr,299 cal,1848.84 gr,27 gr,Green
4992,68.56 gr,459 cal,1165.66 gr,37 gr,Green
4993,145.05 gr,507 cal,1899.41 gr,21 gr,Black
4994,27.769999999999996 gr,281 cal,822.21 gr,10 gr,Coffee
4995,100.67 gr,374 cal,640.25 gr,24 gr,Grass Green
4996,16.99000000000001 gr,516 cal,142.64 gr,13 gr,Sunset Yellow
4997,104.75000000000001 gr,501 cal,1161.71 gr,32 gr,Sunset Yellow
4998,77.39 gr,403 cal,432.71 gr,23 gr,Rose
4999,154.54 gr,619 cal,1050.93 gr,36 gr,Purple
5000,124.78999999999999 gr,242 cal,1716.26 gr,28 gr,Coffee
5001,31.58999999999999 gr,107 cal,844.15 gr,17 gr,Black
5002,67.36 gr,374 cal,1417.41 gr,44 gr,Lemon Yellow
5003,78.99 gr,635 cal,925.5 gr,25 gr,Navy Blue
5004,82.75 gr,506 cal,492.97 gr,36 gr,Rose
5005,81.59 gr,325 cal,1928.29 gr,5 gr,Sunset Yellow
5006,99.12 gr,64 cal,716.62 gr,28 gr,Purple
5007,95.17 gr,265 cal,1501.51 gr,23 gr,Sunset Yellow
5008,89.73 gr,380 cal,1784.2 gr,32 gr,Green
5009,49.650000000000006 gr,304 cal,1214.68 gr,23 gr,Purple
5010,97.38000000000001 gr,671 cal,1340.07 gr,20 gr,Sunset Yellow
5011,110.96 gr,322 cal,44.64 gr,37 gr,Black
5012,84.72000000000001 gr,297 cal,1666.85 gr,21 gr,Purple
5013,114.01 gr,427 cal,550.56 gr,26 gr,Rose
5014,78.94 gr,176 cal,619.96 gr,16 gr,Green
5015,114.49 gr,609 cal,299.9 gr,31 gr,Rose
5016,49.84 gr,279 cal,1903.53 gr,30 gr,Lemon Yellow
5017,38.09 gr,232 cal,895.82 gr,21 gr,Green
5018,149.69 gr,642 cal,1411.81 gr,25 gr,Sunset Red
5019,77.25 gr,579 cal,883.43 gr,41 gr,Rose
5020,87.49 gr,292 cal,162.31 gr,19 gr,Green
5021,60.5 gr,540 cal,1293.63 gr,7 gr,Green
5022,5.689999999999998 gr,86 cal,1955.88 gr,40 gr,Rose
5023,104.97000000000001 gr,92 cal,858.06 gr,9 gr,
5024,133.81 gr,486 cal,1571.02 gr,14 gr,Green
5025,79.79 gr,477 cal,324.7 gr,32 gr,Sunset Red
5026,113.74000000000001 gr,446 cal,894.76 gr,4 gr,Lemon Yellow
5027,134.57 gr,519 cal,988.54 gr,16 gr,Coffee
5028,142.35000000000002 gr,668 cal,1949.34 gr,37 gr,Lemon Yellow
5029,39.88000000000001 gr,474 cal,1003.7 gr,9 gr,Grass Green
5030,135.44 gr,509 cal,1333.89 gr,15 gr,Lemon Yellow
5031,180.26 gr,373 cal,479.0 gr,29 gr,Sunset Red
5032,102.16 gr,355 cal,992.34 gr,28 gr,Lemon Yellow
5033,78.03999999999999 gr,26 cal,235.19 gr,15 gr,Rose
5034,152.25 gr,708 cal,30.6 gr,13 gr,Purple
5035,93.10000000000001 gr,174 cal,1967.25 gr,27 gr,Navy Blue
5036,101.38000000000001 gr,719 cal,994.08 gr,14 gr,Rose
5037,82.92999999999999 gr,450 cal,460.87 gr,20 gr,Black
5038,149.07999999999998 gr,665 cal,252.2 gr,40 gr,Lemon Yellow
5039,52.150000000000006 gr,105 cal,725.1 gr,38 gr,Purple
5040,100.61 gr,435 cal,1237.82 gr,20 gr,Sunset Yellow
5041,106.01000000000002 gr,378 cal,1230.47 gr,27 gr,Coffee
5042,83.99999999999999 gr,203 cal,1483.33 gr,37 gr,Black
5043,,564 cal,630.84 gr,49 gr,Rose
5044,103.17 gr,548 cal,1445.78 gr,49 gr,Lemon Yellow
5045,52.269999999999996 gr,127 cal,1898.27 gr,10 gr,Black
5046,159.24 gr,224 cal,481.09 gr,30 gr,Grass Green
5047,86.45 gr,167 cal,1681.53 gr,32 gr,Black
5048,40.36 gr,374 cal,991.85 gr,21 gr,Rose
5049,35.47 gr,175 cal,1944.41 gr,44 gr,Sunset Yellow
5050,112.9 gr,552 cal,876.98 gr,27 gr,Sunset Yellow
5051,92.61 gr,516 cal,148.45 gr,29 gr,Purple
5052,118.78999999999999 gr,616 cal,1537.37 gr,45 gr,Lemon Yellow
5053,108.97 gr,439 cal,1330.47 gr,9 gr,Black
5054,152.57999999999998 gr,239 cal,352.86 gr,24 gr,Grass Green
5055,72.36 gr,374 cal,1173.56 gr,21 gr,Lemon Yellow
5056,71.17 gr,198 cal,1860.47 gr,23 gr,Grass Green
5057,145.57 gr,482 cal,529.66 gr,30 gr,Black
5058,98.27000000000001 gr,457 cal,943.68 gr,27 gr,Navy Blue
5059,134.17 gr,572 cal,1889.78 gr,33 gr,Rose
5060,67.99999999999999 gr,550 cal,302.54 gr,31 gr,Sunset Red
5061,111.55999999999999 gr,180 cal,1056.91 gr,23 gr,
5062,109.14000000000001 gr,616 cal,868.41 gr,29 gr,Sunset Red
5063,41.239999999999995 gr,74 cal,240.12 gr,24 gr,Sunset Yellow
5064,103.30000000000001 gr,33 cal,1112.24 gr,28 gr,Purple
5065,84.85000000000001 gr,344 cal,178.52 gr,,Lemon Yellow
5066,62.08999999999999 gr,482 cal,107.59 gr,18 gr,Sunset Red
5067,143.89 gr,192 cal,1227.93 gr,,Coffee
5068,,512 cal,201.81 gr,,Sunset Red
5069,111.4 gr,535 cal,1527.54 gr,36 gr,Black
5070,95.35999999999999 gr,205 cal,1414.52 gr,41 gr,Rose
5071,108.69999999999999 gr,340 cal,499.0 gr,43 gr,Rose
5072,124.44 gr,676 cal,60.89 gr,32 gr,Grass Green
5073,19.290000000000006 gr,445 cal,193.38 gr,35 gr,Sunset Yellow
5074,114.42000000000002 gr,274 cal,1625.92 gr,15 gr,Green
5075,113.77 gr,291 cal,74.73 gr,24 gr,Rose
5076,83.91 gr,370 cal,1659.48 gr,24 gr,Grass Green
5077,107.35 gr,57 cal,1721.78 gr,36 gr,Purple
5078,103.03999999999999 gr,364 cal,618.23 gr,16 gr,Sunset Yellow
5079,124.28999999999999 gr,568 cal,1249.96 gr,14 gr,Black
5080,145.94 gr,779 cal,1914.31 gr,31 gr,Coffee
5081,134.28 gr,630 cal,777.29 gr,30 gr,Sunset Yellow
5082,128.14 gr,375 cal,24.4 gr,23 gr,Navy Blue
5083,68.67 gr,563 cal,908.81 gr,35 gr,Green
5084,95.8 gr,315 cal,1453.31 gr,13 gr,Sunset Yellow
5085,62.459999999999994 gr,434 cal,1428.96 gr,13 gr,Black
5086,79.4 gr,321 cal,252.02 gr,19 gr,Sunset Red
5087,129.45 gr,469 cal,1117.02 gr,,Black
5088,67.58999999999999 gr,489 cal,1509.63 gr,8 gr,Purple
5089,21.89 gr,449 cal,662.12 gr,21 gr,Navy Blue
5090,,276 cal,,41 gr,Sunset Yellow
5091,108.81 gr,569 cal,564.5 gr,19 gr,Sunset Yellow
5092,97.99 gr,471 cal,1564.65 gr,36 gr,Navy Blue
5093,123.48 gr,542 cal,997.89 gr,48 gr,Grass Green
5094,42.75 gr,411 cal,1568.42 gr,18 gr,Grass Green
5095,85.42999999999999 gr,21 cal,1830.21 gr,30 gr,Green
5096,92.55 gr,439 cal,1998.6 gr,29 gr,Sunset Red
5097,94.81 gr,611 cal,1846.35 gr,28 gr,Black
5098,88.42 gr,475 cal,380.23 gr,27 gr,Purple
5099,66.78 gr,67 cal,830.54 gr,22 gr,Coffee
5100,178.32 gr,703 cal,1764.51 gr,31 gr,Coffee
5101,76.37 gr,555 cal,1214.47 gr,25 gr,Black
5102,159.52 gr,759 cal,719.93 gr,27 gr,Grass Green
5103,102.66 gr,409 cal,1926.35 gr,17 gr,Purple
5104,109.36999999999999 gr,559 cal,1196.95 gr,46 gr,Coffee
5105,115.74 gr,460 cal,104.4 gr,33 gr,Grass Green
5106,110.1 gr,146 cal,1402.29 gr,23 gr,Sunset Red
5107,112.37 gr,561 cal,864.89 gr,35 gr,Sunset Yellow
5108,109.61000000000001 gr,117 cal,1931.54 gr,28 gr,Sunset Yellow
5109,62.86 gr,560 cal,339.49 gr,35 gr,Grass Green
5110,14.659999999999997 gr,520 cal,212.68 gr,28 gr,Navy Blue
5111,36.32000000000001 gr,69 cal,317.48 gr,14 gr,Grass Green
5112,95.4 gr,560 cal,1673.74 gr,39 gr,Sunset Yellow
5113,39.280000000000015 gr,467 cal,684.1 gr,28 gr,Coffee
5114,31.47 gr,80 cal,732.38 gr,19 gr,Sunset Yellow
5115,44.150000000000006 gr,171 cal,1126.84 gr,32 gr,Black
5116,64.35 gr,448 cal,580.69 gr,33 gr,Black
5117,164.41 gr,613 cal,696.97 gr,25 gr,Purple
5118,82.61 gr,677 cal,1364.53 gr,34 gr,Purple
5119,150.3 gr,360 cal,247.84 gr,31 gr,Grass Green
5120,38.209999999999994 gr,333 cal,1755.09 gr,41 gr,Coffee
5121,139.78 gr,587 cal,775.62 gr,18 gr,Lemon Yellow
5122,127.21000000000001 gr,155 cal,655.94 gr,9 gr,Navy Blue
5123,142.53 gr,502 cal,1604.71 gr,30 gr,Sunset Yellow
5124,56.35000000000001 gr,529 cal,1166.9 gr,23 gr,Green
5125,71.79 gr,472 cal,54.36 gr,27 gr,Green
5126,160.03 gr,469 cal,1347.08 gr,25 gr,Navy Blue
5127,124.99000000000001 gr,401 cal,287.09 gr,34 gr,Black
5128,38.370000000000005 gr,287 cal,587.75 gr,15 gr,Sunset Yellow
5129,75.56 gr,483 cal,249.77 gr,11 gr,Lemon Yellow
5130,70.23 gr,513 cal,1937.75 gr,35 gr,Rose
5131,60.16 gr,199 cal,143.39 gr,32 gr,Black
5132,35.17999999999999 gr,374 cal,351.87 gr,30 gr,Rose
5133,77.75 gr,627 cal,1737.92 gr,33 gr,Rose
5134,87.07999999999998 gr,211 cal,46.76 gr,18 gr,Grass Green
5135,137.98 gr,418 cal,720.72 gr,33 gr,Navy Blue
5136,100.47999999999999 gr,156 cal,258.47 gr,38 gr,Navy Blue
5137,159.72 gr,549 cal,405.0 gr,38 gr,Purple
5138,99.26 gr,28 cal,576.63 gr,33 gr,Lemon Yellow
5139,37.459999999999994 gr,451 cal,748.49 gr,27 gr,Sunset Yellow
5140,12.66000000000001 gr,384 cal,754.48 gr,17 gr,Green
5141,,368 cal,1019.95 gr,17 gr,Sunset Yellow
5142,166.94 gr,466 cal,689.6 gr,26 gr,Black
5143,143.98 gr,650 cal,1154.35 gr,32 gr,Black
5144,95.00000000000001 gr,210 cal,1652.88 gr,18 gr,Black
5145,111.72999999999999 gr,93 cal,1156.0 gr,8 gr,Coffee
5146,104.33 gr,378 cal,1755.92 gr,17 gr,Black
5147,74.07000000000001 gr,343 cal,298.64 gr,4 gr,Green
5148,175.01 gr,637 cal,839.94 gr,26 gr,Green
5149,37.94 gr,298 cal,1380.02 gr,35 gr,Sunset Red
5150,95.53 gr,476 cal,1101.23 gr,14 gr,Grass Green
5151,127.13 gr,248 cal,239.45 gr,26 gr,Sunset Yellow
5152,170.39 gr,798 cal,1606.13 gr,25 gr,Lemon Yellow
5153,172.1 gr,536 cal,754.69 gr,26 gr,Coffee
5154,144.20999999999998 gr,705 cal,1361.48 gr,16 gr,Green
5155,133.32 gr,445 cal,1666.91 gr,41 gr,Sunset Yellow
5156,85.38 gr,501 cal,99.14 gr,33 gr,Coffee
5157,80.0 gr,690 cal,422.62 gr,31 gr,Black
5158,128.21 gr,567 cal,1138.73 gr,38 gr,Sunset Red
5159,119.09 gr,644 cal,20.61 gr,28 gr,Purple
5160,109.77 gr,431 cal,859.63 gr,22 gr,Grass Green
5161,61.53 gr,318 cal,1078.63 gr,34 gr,Coffee
5162,127.21 gr,394 cal,1613.85 gr,29 gr,Navy Blue
5163,99.02000000000001 gr,424 cal,1154.05 gr,44 gr,Sunset Red
5164,60.879999999999995 gr,115 cal,1180.79 gr,21 gr,Purple
5165,128.83 gr,731 cal,241.49 gr,29 gr,Lemon Yellow
5166,127.18 gr,390 cal,1274.49 gr,33 gr,Green
5167,141.34 gr,525 cal,472.12 gr,46 gr,Navy Blue
5168,52.22 gr,301 cal,1640.86 gr,15 gr,Purple
5169,112.11 gr,265 cal,420.16 gr,24 gr,Navy Blue
5170,93.2 gr,264 cal,884.36 gr,17 gr,Black
5171,83.21 gr,805 cal,1704.47 gr,19 gr,Navy Blue
5172,48.30000000000001 gr,467 cal,92.83 gr,29 gr,Grass Green
5173,88.77000000000001 gr,271 cal,1762.75 gr,20 gr,Navy Blue
5174,28.78 gr,251 cal,434.25 gr,14 gr,Rose
5175,109.09 gr,550 cal,1391.3 gr,32 gr,Lemon Yellow
5176,102.66 gr,481 cal,238.18 gr,24 gr,Coffee
5177,41.8 gr,88 cal,1214.34 gr,26 gr,Green
5178,115.3 gr,589 cal,1540.22 gr,33 gr,Coffee
5179,124.79 gr,473 cal,352.11 gr,33 gr,Grass Green
5180,,575 cal,667.47 gr,19 gr,Black
5181,95.64 gr,707 cal,1015.6 gr,38 gr,Sunset Red
5182,56.16 gr,160 cal,160.16 gr,7 gr,Sunset Yellow
5183,161.07999999999998 gr,424 cal,950.76 gr,30 gr,Green
5184,36.56 gr,186 cal,1155.94 gr,27 gr,Sunset Red
5185,148.05 gr,435 cal,1495.19 gr,36 gr,Black
5186,125.68 gr,335 cal,956.73 gr,38 gr,Purple
5187,94.22999999999999 gr,269 cal,1363.66 gr,8 gr,Navy Blue
5188,77.83000000000001 gr,379 cal,978.28 gr,22 gr,Lemon Yellow
5189,63.75 gr,336 cal,1790.86 gr,24 gr,Purple
5190,31.480000000000004 gr,225 cal,1151.02 gr,24 gr,Sunset Yellow
5191,163.66 gr,534 cal,1899.54 gr,44 gr,Sunset Yellow
5192,119.49 gr,387 cal,103.91 gr,21 gr,Purple
5193,46.17 gr,494 cal,793.66 gr,15 gr,Green
5194,150.12 gr,649 cal,660.34 gr,33 gr,Sunset Red
5195,143.72 gr,494 cal,720.86 gr,21 gr,Coffee
5196,52.93000000000001 gr,371 cal,1583.82 gr,20 gr,Coffee
5197,162.28 gr,505 cal,213.96 gr,35 gr,Lemon Yellow
5198,89.84 gr,76 cal,338.26 gr,34 gr,Green
5199,90.9 gr,135 cal,1943.29 gr,19 gr,Green
5200,95.21000000000001 gr,364 cal,1371.9 gr,14 gr,Grass Green
5201,43.62 gr,346 cal,776.01 gr,36 gr,Navy Blue
5202,136.54000000000002 gr,691 cal,724.05 gr,24 gr,Sunset Red
5203,83.85 gr,626 cal,1535.84 gr,40 gr,Sunset Yellow
5204,118.02 gr,292 cal,665.72 gr,23 gr,Purple
5205,86.27 gr,412 cal,934.06 gr,43 gr,Purple
5206,81.61 gr,407 cal,1007.15 gr,14 gr,Sunset Yellow
5207,57.24000000000001 gr,458 cal,1037.72 gr,30 gr,Lemon Yellow
5208,124.07 gr,431 cal,1323.44 gr,18 gr,Navy Blue
5209,110.94000000000001 gr,340 cal,817.19 gr,39 gr,Coffee
5210,56.92 gr,245 cal,439.02 gr,14 gr,Lemon Yellow
5211,170.41 gr,420 cal,826.71 gr,32 gr,Black
5212,41.86 gr,18 cal,1473.4 gr,13 gr,Black
5213,95.67 gr,456 cal,62.7 gr,42 gr,Lemon Yellow
5214,134.32999999999998 gr,393 cal,1780.61 gr,,Rose
5215,92.78 gr,288 cal,660.26 gr,14 gr,Coffee
5216,49.400000000000006 gr,503 cal,1198.35 gr,32 gr,
5217,113.21 gr,166 cal,1391.53 gr,27 gr,Lemon Yellow
5218,54.05 gr,375 cal,142.77 gr,28 gr,Sunset Yellow
5219,102.66 gr,278 cal,1390.85 gr,27 gr,Lemon Yellow
5220,106.34 gr,424 cal,959.53 gr,14 gr,Green
5221,113.52 gr,623 cal,955.25 gr,28 gr,Sunset Red
5222,99.07000000000001 gr,373 cal,1197.72 gr,41 gr,Lemon Yellow
5223,64.98 gr,571 cal,1640.61 gr,44 gr,Black
5224,26.559999999999988 gr,297 cal,1801.66 gr,9 gr,Coffee
5225,88.61 gr,472 cal,998.07 gr,41 gr,Navy Blue
5226,61.749999999999986 gr,237 cal,1710.19 gr,9 gr,Sunset Yellow
5227,56.7 gr,395 cal,569.93 gr,,Sunset Red
5228,100.35 gr,485 cal,517.67 gr,30 gr,Coffee
5229,114.81 gr,535 cal,407.15 gr,35 gr,Grass Green
5230,68.08999999999999 gr,326 cal,2.81 gr,19 gr,Navy Blue
5231,52.17 gr,391 cal,1078.14 gr,37 gr,Rose
5232,135.92000000000002 gr,399 cal,1886.99 gr,27 gr,Purple
5233,132.04 gr,279 cal,1646.98 gr,26 gr,Green
5234,132.17000000000002 gr,353 cal,1229.89 gr,21 gr,Grass Green
5235,169.97 gr,368 cal,1042.94 gr,43 gr,Purple
5236,130.71 gr,516 cal,113.19 gr,24 gr,Black
5237,133.4 gr,482 cal,30.85 gr,41 gr,Purple
5238,94.63 gr,335 cal,12.22 gr,41 gr,Green
5239,72.86 gr,96 cal,1011.85 gr,30 gr,Sunset Yellow
5240,153.67000000000002 gr,643 cal,1676.83 gr,38 gr,Navy Blue
5241,118.54 gr,506 cal,1898.43 gr,33 gr,Coffee
5242,140.93 gr,433 cal,1087.38 gr,31 gr,Rose
5243,30.39 gr,152 cal,1739.31 gr,26 gr,Rose
5244,114.8 gr,439 cal,1792.08 gr,49 gr,Grass Green
5245,126.08000000000001 gr,808 cal,1128.26 gr,23 gr,Coffee
5246,167.25 gr,477 cal,75.66 gr,29 gr,Rose
5247,97.01 gr,448 cal,1325.26 gr,19 gr,Sunset Red
5248,111.87 gr,649 cal,681.24 gr,39 gr,Green
5249,112.86 gr,712 cal,146.26 gr,38 gr,Sunset Red
5250,44.52000000000001 gr,90 cal,1736.68 gr,29 gr,Purple
5251,108.5 gr,365 cal,1338.15 gr,22 gr,Green
5252,79.82 gr,403 cal,1241.29 gr,28 gr,Sunset Red
5253,137.29999999999998 gr,194 cal,468.91 gr,9 gr,Lemon Yellow
5254,71.37999999999998 gr,91 cal,364.27 gr,27 gr,Sunset Yellow
5255,119.79 gr,515 cal,100.54 gr,10 gr,Lemon Yellow
5256,93.83 gr,644 cal,1246.99 gr,29 gr,Purple
5257,124.78999999999999 gr,715 cal,784.37 gr,21 gr,Rose
5258,145.32999999999998 gr,602 cal,145.85 gr,41 gr,Navy Blue
5259,59.249999999999986 gr,273 cal,76.01 gr,27 gr,Coffee
5260,136.25 gr,147 cal,1164.32 gr,3 gr,Black
5261,117.99000000000001 gr,276 cal,635.16 gr,29 gr,Sunset Red
5262,144.68 gr,488 cal,1362.73 gr,35 gr,Black
5263,125.46 gr,363 cal,1799.75 gr,31 gr,Grass Green
5264,44.21000000000001 gr,377 cal,1610.51 gr,23 gr,Navy Blue
5265,132.66 gr,340 cal,1608.91 gr,30 gr,Purple
5266,184.75 gr,413 cal,1221.37 gr,33 gr,Purple
5267,70.07 gr,112 cal,1427.55 gr,31 gr,Sunset Yellow
5268,127.61000000000001 gr,385 cal,697.43 gr,18 gr,Coffee
5269,120.75999999999999 gr,100 cal,1756.95 gr,11 gr,Grass Green
5270,50.17999999999999 gr,348 cal,1172.74 gr,21 gr,Sunset Red
5271,72.13 gr,318 cal,1257.04 gr,36 gr,Lemon Yellow
5272,40.779999999999994 gr,477 cal,114.0 gr,37 gr,Sunset Yellow
5273,134.28 gr,401 cal,1376.04 gr,16 gr,Navy Blue
5274,86.2 gr,775 cal,1435.5 gr,25 gr,Rose
5275,147.01999999999998 gr,431 cal,334.67 gr,25 gr,Purple
5276,123.05 gr,458 cal,12.41 gr,32 gr,Sunset Yellow
5277,89.32999999999998 gr,92 cal,1353.66 gr,19 gr,Navy Blue
5278,24.040000000000006 gr,196 cal,456.04 gr,11 gr,Black
5279,96.04 gr,123 cal,1114.55 gr,33 gr,Lemon Yellow
5280,126.58000000000001 gr,600 cal,1247.34 gr,24 gr,Lemon Yellow
5281,109.97 gr,111 cal,446.47 gr,20 gr,Sunset Yellow
5282,25.120000000000005 gr,18 cal,1446.17 gr,23 gr,Lemon Yellow
5283,99.57 gr,520 cal,1294.03 gr,29 gr,Sunset Yellow
5284,86.73 gr,489 cal,982.87 gr,30 gr,Green
5285,142.97 gr,507 cal,1973.89 gr,22 gr,Purple
5286,57.41999999999999 gr,360 cal,182.33 gr,24 gr,Black
5287,140.53 gr,428 cal,1373.19 gr,18 gr,Sunset Red
5288,134.95999999999998 gr,54 cal,1633.48 gr,30 gr,Rose
5289,117.0 gr,707 cal,1806.61 gr,23 gr,Sunset Yellow
5290,87.76 gr,79 cal,1767.99 gr,,Lemon Yellow
5291,103.33 gr,380 cal,1738.88 gr,39 gr,Black
